Street,Full,Lat,Long
Embankment Road,"Embankment Rd, Hong Kong",22.3260729,114.1744422
Emma Avenue,"Emma Ave, Ho Man Tin, Hong Kong",22.3194368,114.1754638
Essex Crescent,"Essex Cres, Kowloon Tong, Hong Kong",22.3287097,114.1773559
Excelsior Terrace,"281 Gloucester Rd, Causeway Bay, Hong Kong",22.281845,114.184424
Expo Drive,"Expo Dr, Hong Kong",22.2826078,114.1711445
Expo Drive Central,"Expo Drive Central, Wan Chai, Hong Kong",22.2826315,114.1728412
Expo Drive East,"Expo Dr E, Hong Kong",22.2832733,114.1741887
Ezra's Lane,"Ezra's Ln, Central, Hong Kong",22.2821412,114.1542129
Fa Po Street,"Fa Po St, Hong Kong",22.3322188,114.1761809
Fa Yuen Street,"Fa Yuen St, Mong Kok, Hong Kong",22.3210427,114.1708037
Factory Street,"Factory St, Shau Kei Wan, Hong Kong",22.2772862,114.2294238
Fan Wa Street,"Fan Wa St, Cha Kwo Ling, Hong Kong",22.303424,114.2275353
Farm Road,"Farm Rd, Hong Kong",22.3210021,114.1866922
Fat Hing Street,"Fat Hing St, Hong Kong",22.2866336,114.1478112
Fat Kwong Street,"Fat Kwong St, Hong Kong",22.3131139,114.1820164
Fat Kwong Street Flyover,"Fat Kwong St Flyover, Hung Hom, Hong Kong",22.3088792,114.1872352
Fat Tseung Street,"Fat Tseung St, Hong Kong",22.3360101,114.1554175
Fat Tseung Street West,"Hong Kong, Cheung Sha Wan, Fat Tseung Street West",22.3315144,114.1514629
Fei Fung Street,"Fei Fung St, Chuk Un, Hong Kong",22.3436928,114.1965842
Fei Ngo Shan Road,"Fei Ngo Shan Rd, Clear Water Bay, Hong Kong",22.3452251,114.2254218
Fei Tsui Road,"Fei Tsui Rd, Hong Kong",22.2627655,114.2333203
Fenwick Pier Street,"Fenwick Pier St, Hong Kong",22.2808256,114.1695313
Fenwick Street,"Fenwick St, Wan Chai, Hong Kong",22.2790297,114.1704149
Ferry Street,"Ferry St, Hong Kong",22.312325,114.1670145
Fessenden Road,"Fessenden Rd, Beacon Hill, Hong Kong",22.3421493,114.1824548
Fife Street,"Fife St, Mong Kok, Hong Kong",22.320265,114.1692322
Finance Street,"Finance St, Central, Hong Kong",22.2863412,114.1581833
Findlay Path,"Findlay Path, The Peak, Hong Kong",22.2709811,114.1510784
Findlay Road,"Findlay Rd, The Peak, Hong Kong",22.2705243,114.1512792
Finnie Street,"Finnie St, Quarry Bay, Hong Kong",22.288381,114.210424
Fir Street,"Fir St, Tai Kok Tsui, Hong Kong",22.3215857,114.1649539
Fire Dragon Path,"Fire Dragon Path, Causeway Bay, Hong Kong",22.2804261,114.1915205
First Lane,"First Ln, Tai Hang, Hong Kong",22.2786764,114.1916245
First Street,"First St, Sai Ying Pun, Hong Kong",22.2865452,114.1417918
Fleming Road,"Fleming Rd, Wan Chai, Hong Kong",22.2794781,114.1745066
Flint Road,"Flint Rd, Kowloon Tsai, Hong Kong",22.328696,114.179523
Flower Market Path,"Flower Market Rd, Mong Kok, Hong Kong",22.3252325,114.1720897
Flower Market Road,"Flower Market Rd, Mong Kok, Hong Kong",22.3252325,114.1720897
Fong Wah Lane,"Fong Wah Ln, Tsz Wan Shan, Hong Kong",22.346966,114.2018565
Foo Kwai Street,"Foo Kwai St, Tai Kok Tsui, Hong Kong",22.3191225,114.161587
Foo Ming Street,"Foo Ming St, Causeway Bay, Hong Kong",22.2786739,114.1834905
Foo Yuen Street,"Foo Yuen St, San Po Kong, Hong Kong",22.3351432,114.1951552
Fook Lai Road,Hong Kong,22.396428,114.109497
Fook Yum Road,"Fook Yum Rd, Causeway Bay, Hong Kong",22.2882455,114.1916865
Forbes Street,"Forbes St, Sai Wan, Hong Kong",22.2813592,114.1273407
Forfar Road,"Forfar Rd, Ma Tau Wai, Hong Kong",22.3263542,114.1864093
Fort Street,"Fort St, North Point, Hong Kong",22.2897463,114.1968458
Fortress Hill Road,"Fortress Hill Rd, North Point, Hong Kong",22.2881797,114.1954739
Fortune Street,"Fortune St, Cheung Sha Wan, Hong Kong",22.3352158,114.1534405
Fu Chi Path,"Chi Fu Rd, Pok Fu Lam, Hong Kong",22.2579259,114.1391691
Fu Hong Street,"Fu Hong St, Hong Kong",22.267741,114.247738
Fu Keung Street,"Fu Keung St, Wang Tau Hom, Hong Kong",22.339663,114.185775
Fu Mei Street,"Fu Mei St, Wang Tau Hom, Hong Kong",22.340641,114.1866336
Fu Mei Street East,"Fu Mei St E, Lo Fu Ngam, Hong Kong",22.337951,114.188563
Fu Mei Street West,"Fu Mei St, Wang Tau Hom, Hong Kong",22.340641,114.1866336
Fu Mou Street,Hong Kong,22.396428,114.109497
Fu Ning Street,"Fu Ning St, Ma Tau Wai, Hong Kong",22.324893,114.1878674
Fu On Street,"Fu On St, Hong Kong",22.3369312,114.18509
Fu Tsui Street,"Fu Tsui St, Chai Wan, Hong Kong",22.262183,114.2389702
Fu Wan Street,"Fu Wan St, Wang Tau Hom, Hong Kong",22.3394225,114.185354
Fu Yan Street,"Fu Yan St, Kwun Tong, Hong Kong",22.314939,114.2242527
Fu Yee Road,"Fu Yee Rd, Siu Sai Wan, Hong Kong",22.2639115,114.2506375
Fu Yue Street,"Fu Yue St, Wang Tau Hom, Hong Kong",22.3413083,114.185649
Fuk Chak Street,"Fuk Chak St, Tai Kok Tsui, Hong Kong",22.3202926,114.1611592
Fuk Cheung Street,"Fuk Cheung St, Ma Tau Wai, Hong Kong",22.3246624,114.1864112
Fuk Chi Street,"Fuk Chi St, Hung Hom, Hong Kong",22.3060435,114.1849839
Fuk Hing Lane,"Fuk Hing Ln, Causeway Bay, Hong Kong",22.2794218,114.1849865
Fuk Kwan Avenue,"Fuk Kwan Ave, Tai Hang, Hong Kong",22.276259,114.1938399
Fuk Lee Street,"Fuk Lee St, Tai Kok Tsui, Hong Kong",22.3241186,114.1602954
Fuk Lo Tsun Road,"Fuk Lo Tsun Rd, Hong Kong",22.3296863,114.1875927
Fuk Ning Road,"Fuk Ning Rd, Kwun Tong, Hong Kong",22.312205,114.2293975
Fuk On Lane,"Fuk Sau Ln, Sai Ying Pun, Hong Kong",22.2858506,114.140346
Fuk Sau Lane,"Fuk Sau Ln, Sai Ying Pun, Hong Kong",22.2858506,114.140346
Fuk To Street,"Fuk Wa St, Hong Kong",22.3306145,114.1635165
Fuk Tong Road,"Fuk Tong Rd, Kwun Tong, Hong Kong",22.3117249,114.2284349
Fuk Tsun Street,"Fuk Tsun St, Tai Kok Tsui, Hong Kong",22.321601,114.163846
Fuk Wa Street,"Fuk Wa St, Hong Kong",22.3306145,114.1635165
Fuk Wing Street,"Fuk Wing St, Hong Kong",22.3344434,114.1595357
Fuk Yuen Street,"Fuk Yuen St, North Point, Hong Kong",22.2890139,114.1937885
Fukien Street,Hong Kong,22.396428,114.109497
Fung Fai Terrace,"Fung Fai Terrace, Happy Valley, Hong Kong",22.2682212,114.1833507
Fung Ha Road,"Fung Ha Rd, Tai Tam Gap, Hong Kong",22.2605144,114.2313831
Fung Lai Road,"Fung Lai Rd, Hong Kong",22.3452371,114.2024571
Fung Mat Road,"Fung Mat Rd, Sai Wan, Hong Kong",22.2885785,114.1375624
Fung Mei Path,"Fung Mei Path, Diamond Hill, Hong Kong",22.3430739,114.2023834
Fung Mo Street,"Fung Mo St, Hong Kong",22.339618,114.189317
Fung Ping Lane,"Fung Ping Ln, Hong Kong",22.3424125,114.1668503
Fung Shing Street,"Fung Shing St, Hong Kong",22.3390588,114.213605
Fung Tak Road,"Fung Tak Rd, Hong Kong",22.3427258,114.2013085
Fung Tin Street,"Fung Tin St, Aberdeen, Hong Kong",22.2486883,114.1533575
Fung Un Street,"Fung Un St, Causeway Bay, Hong Kong",22.2790729,114.1854893
Fung Wah Street,"Fung Wah St, Tsz Wan Shan, Hong Kong",22.3510883,114.2015647
Fung Wong Terrace,"Fung Wong Terrace, Wan Chai, Hong Kong",22.2741288,114.1725697
Fung Yi Street,"Fung Yi St, Ma Tau Kok, Hong Kong",22.3217934,114.1913862
Fung Yip Street,"Fung Yip St, Chai Wan, Hong Kong",22.267522,114.245119
Gage Street,"Gage St, Central, Hong Kong",22.2831966,114.1534696
Garden Road,"Garden Rd, Hong Kong",22.2776516,114.1585776
Garden Terrace,"8A Old Peak Rd, Mid-level, Hong Kong",22.275945,114.154339
Gascoigne Road,"Gascoigne Rd, Yau Ma Tei, Hong Kong",22.3068286,114.1748655
George's Lane,"George's Ln, Central, Hong Kong",22.282449,114.1519294
Gillies Avenue North,"Gillies Ave N, Hung Hom, Hong Kong",22.3115221,114.1870166
Gillies Avenue South,"Gillies Ave S, Hung Hom, Hong Kong",22.3076461,114.1848173
Gilman Street,"Gilman St, Central, Hong Kong",22.2858788,114.1550952
Gilman's Bazaar,"Gilman's Bazaar, Central, Hong Kong",22.2849293,114.1542307
Glass Street,"Glass St, Causeway Bay, Hong Kong",22.2864128,114.1905965
Glee Path,"Glee Path, Lai Chi Kok, Hong Kong",22.3364946,114.1394218
Glenealy,"Glenealy, Hong Kong",22.2784321,114.1541979
Gloucester Road,"Gloucester Rd, Hong Kong",22.2799613,114.1773361
Goldsmith Road,"Goldsmith Rd, Jardine's Lookout, Hong Kong",22.2683402,114.1915268
Good Shepherd Street,"Good Shepherd St, No. 12 Hill, Hong Kong",22.3160196,114.1801924
Gordon Road,"Gordon Rd, Causeway Bay, Hong Kong",22.2857277,114.191133
Gough Hill Path,"Gough Hill Path, The Peak, Hong Kong",22.2654782,114.1526292
Gough Hill Road,"Gough Hill Rd, The Peak, Hong Kong",22.2663953,114.1556264
Gough Street,"Gough St, Hong Kong",22.2841845,114.1524715
Governor's Walk,"150 Stanley Ave, Ottawa, ON K1M 2J7, Canada",45.44017150000001,-75.68764050000001
Graham Street,"Graham St, Central, Hong Kong",22.283043,114.1535824
Grampian Road,"Grampian Rd, Kowloon Tsai, Hong Kong",22.329014,114.1865434
Grandeur Road,"Grandeur Rd, Yau Yat Chuen, Hong Kong",22.3336451,114.1738674
Granville Circuit,"Granville Circuit, Tsim Sha Tsui, Hong Kong",22.2998534,114.1753789
Granville Road,"Granville Rd, Hong Kong",22.3003108,114.1753331
Granville Square,"Grandville Square, Tsim Sha Tsui East, Hong Kong",22.2998647,114.1770806
Great George Street,"Great George St, Causeway Bay, Hong Kong",22.2805629,114.1859902
Green Lane,"Green Ln, Happy Valley, Hong Kong",22.2643626,114.1882101
Greig Crescent,"Greig Cres, Hong Kong",22.2822809,114.2144984
Greig Road,"Greig Road, Hong Kong",22.2828104,114.2137633
Gresson Street,"Gresson St, Wan Chai, Hong Kong",22.2768057,114.1700789
Guildford Road,"Guildford Rd, The Peak, Hong Kong",22.266965,114.162215
Gullane Road,"Gullane Rd, Ho Man Tin, Hong Kong",22.3221622,114.1803898
Gutzlaff Street,"Gutzlaff St, Central, Hong Kong",22.2831607,114.1539593
Ha Heung Road,"Ha Heung Rd, To Kwa Wan, Hong Kong",22.3172642,114.1891535
Hai Tan Street,"Hai Tan St, Hong Kong",22.3280171,114.1591674
Haiphong Road,"Haiphong Rd, Tsim Sha Tsui, Hong Kong",22.2980174,114.1704703
Hak Po Street,"Hak Po St, Mong Kok, Hong Kong",22.318041,114.172604
Ham Yu Street,"Ham Yu St, Sai Ying Pun, Hong Kong",22.2881465,114.1434144
Hamilton Street,"Hamilton St, Mong Kok, Hong Kong",22.3144285,114.1697165
Hammer Hill Road,"Hammer Hill Rd, Hong Kong",22.3391432,114.2061512
Hampshire Road,"Hampshire Rd, Kowloon Tsai, Hong Kong",22.3319335,114.1802335
Hang Cheung Street,"Hang Cheung St, Cheung Sha Wan, Hong Kong",22.336361,114.153691
Hang On Street,"Hang On St, Hong Kong",22.3158295,114.2222522
Hang Wan Road,"Hang Wan Rd, Ma Tau Chung, Hong Kong",22.3252615,114.1895981
Hang Yip Street,"Hang Yip St, Hong Kong",22.31505,114.217143
Hankow Road,"Hankow Rd, Tsim Sha Tsui, Hong Kong",22.2964221,114.171143
Hanoi Road,"Hanoi Rd, Tsim Sha Tsui, Hong Kong",22.2977703,114.1739382
Happy View Terrace,"Happy View Terrace, Hong Kong",22.2745132,114.1853543
Harbour Drive,"Harbour Dr, Wan Chai, Hong Kong",22.2798024,114.1758218
Harbour Parade,"Harbour Parade, North Point, Hong Kong",22.2928009,114.2007138
Harbour Road,"Harbour Rd, Wan Chai, Hong Kong",22.2807029,114.1747549
Harbour View Street,"Harbour View St, Central, Hong Kong",22.2844394,114.1579859
Harcourt Road,"Harcourt Rd, Hong Kong",22.280406,114.164551
Harlech Road,"Harlech Rd, The Peak, Hong Kong",22.2716086,114.1439098
Harmony Road,"Harmony Rd, Siu Sai Wan, Hong Kong",22.2649593,114.2494121
Hart Avenue,"Hart Ave, Tsim Sha Tsui, Hong Kong",22.2977973,114.1745632
Hatton Road,"Hatton Rd, Hong Kong",22.2766445,114.1372545
Hau Cheung Street,"Hau Cheung St, Yau Ma Tei, Hong Kong",22.3114339,114.1660125
Hau Fook Street,"Hau Fook St, Tsim Sha Tsui, Hong Kong",22.2995362,114.1740479
Hau Fung Lane,"Hau Fung Ln, Wan Chai, Hong Kong",22.2751811,114.1704903
Hau Man Street,"Hau Man St, No. 12 Hill, Hong Kong",22.3120416,114.1801032
Hau Tak Lane,"Hau Tak Ln, Wan Chai, Hong Kong",22.2744447,114.1786277
Hau Wo Street,"Hau Wo St, Sai Wan, Hong Kong",22.2827992,114.1272796
Hau Wong Road,"Hau Wong Rd, Hong Kong",22.3290854,114.1887619
Hau Yuen Path,"Hau Yuen Path, Hong Kong",22.2837073,114.1981725
Haven Street,"Haven St, Hong Kong",22.2777441,114.1869287
Hawthorn Road,"Hawthorn Rd, Happy Valley, Hong Kong",22.2658136,114.1875959
Headland Road,"Headland Rd, Repulse Bay, Hong Kong",22.2262605,114.2002672
Healthy Street Central,"Healthy Street Central, Tsat Tsz Mui, Hong Kong",22.2919835,114.2058153
Healthy Street East,"Healthy St E, Tsat Tsz Mui, Hong Kong",22.2918665,114.207186
Healthy Street West,"Healthy St W, Tsat Tsz Mui, Hong Kong",22.2914379,114.2046042
Heard Street,"Heard St, Wan Chai, Hong Kong",22.2774029,114.177281
Hee Wong Terrace,"Hee Wong Terrace, Sai Wan, Hong Kong",22.2829846,114.1310574
Hei Tin Street,Hong Kong,22.396428,114.109497
Hei Wo Street,"Hei Wo St, North Point, Hong Kong",22.2904813,114.1956522
Henderson Road,"Henderson Rd, Jardine's Lookout, Hong Kong",22.2682904,114.1932886
Heng Lam Street,"Heng Lam St, Lo Fu Ngam, Hong Kong",22.3360995,114.1889355
Hennessy Road,"Hennessy Rd, Hong Kong",22.2779487,114.1757825
Hereford Road,"Hereford Rd, Kowloon Tsai, Hong Kong",22.3339836,114.1811163
Heung Hing Lane,"Heung Hing Ln, Sheung Wan, Hong Kong",22.2872485,114.1480025
Heung Yip Road,"Heung Yip Rd, Hong Kong",22.2479014,114.1664195
Hi Lung Lane,"Hi Lung Ln, Yau Ma Tei, Hong Kong",22.3112499,114.169954
High Street,"High St, Sai Wan, Hong Kong",22.285151,114.142692
Hill Road,"Hill Rd, Shek Tong Tsui, Hong Kong",22.2854146,114.1357512
Hill Side Terrace,"Hong Kong, Wan Chai, Hillside Terrace",22.2752463,114.1696898
Hillier Street,"Hillier St, Hong Kong",22.2856887,114.1517226
Hillwood Road,"Hillwood Rd, Tsim Sha Tsui, Hong Kong",22.3027454,114.173316
Hing Fat Street,"Hing Fat St, Causeway Bay, Hong Kong",22.2851561,114.1908467
Hing Hon Road,"Hing Hon Rd, Hong Kong",22.2846106,114.1396248
Hing Lung Lane East,"Hing Lung Ln E, Shek Tong Tsui, Hong Kong",22.2863631,114.1373408
Hing Lung Lane West,"Hing Lung Ln W, Shek Tong Tsui, Hong Kong",22.2867767,114.1370255
Hing Lung Street,"Hing Lung St, Central, Hong Kong",22.2848777,114.155135
Hing Man Street,"Hing Man St, Hong Kong",22.2812455,114.223899
Hing Tin Street,"Hing Tin St, Lam Tin, Hong Kong",22.3110304,114.2373654
Hing Wah Street,"Hing Wah St, Cheung Sha Wan, Hong Kong",22.33645,114.1527065
Hing Wah Street West,"Hing Wah St W, Hong Kong",22.3298231,114.1447274
Hing Wan Street,"Hing Wan St, Wan Chai, Hong Kong",22.2737246,114.174246
Hing Wo Street,"Hing Wo St, Tin Wan, Hong Kong",22.250063,114.14834
Hing Yan Street,"Hing Yan St, Ma Tau Kok, Hong Kong",22.3194972,114.1945542
Hing Yin Street,"Hing Yin St, Ma Tau Kok, Hong Kong",22.319601,114.1943229
Hing Yip Street,"Hing Yip St, Kwun Tong, Hong Kong",22.3092684,114.2251696
Hip Wo Lane,"Hip Wo Ln, Happy Valley, Hong Kong",22.2681528,114.1871656
Hip Wo Street,"Hip Wo St, Hong Kong",22.3180946,114.227041
Hiu Kwong Street,"Hiu Kwong St, Hong Kong",22.3177112,114.2312599
Hiu Ming Street,"Hiu Ming St, Hong Kong",22.3159758,114.2309507
Hiu Tsui Street,"Hiu Tsui St, Siu Sai Wan, Hong Kong",22.2622507,114.2476266
Hiu Yuk Path,"Hiu Yuk Path, Sau Mau Ping, Hong Kong",22.3144388,114.2330132
Ho King Street,"Ho King St, Peng Chau, Hong Kong",22.2866377,114.039038
Ho Kwok Lane,"Kwok Hing Ln, Sai Wan, Hong Kong",22.2856892,114.1433766
Ho Man Tin Hill Road,"Ho Man Tin Hill Rd, Ho Man Tin, Hong Kong",22.3149009,114.1766895
Ho Man Tin Street,"Ho Man Tin St, Ho Man Tin, Hong Kong",22.3159534,114.175263
Ho Tung Road,"Ho Tung Rd, Kowloon Tsai, Hong Kong",22.3286675,114.1797927
Hoi An Street,"Hoi An St, Shau Kei Wan, Hong Kong",22.2803049,114.2238426
Hoi Bun Road,"Hoi Bun Rd, Hong Kong",22.3134713,114.2164684
Hoi Chak Street,"Hoi Chak St, Quarry Bay, Hong Kong",22.2901336,114.210301
Hoi Ching Street,"Hoi Ching St, Shau Kei Wan, Hong Kong",22.279881,114.2231278
Hoi Chiu Street,"Shop G6, G/F., Shing Yip Industrial Building, No.19-21, Shing Yip Street, Kwun Tong, Kowloon., Kwun Tong, Hong Kong",22.3099023,114.2268491
Hoi Fai Road,"Hoi Fai Rd, Hong Kong",22.318219,114.1568246
Hoi Fan Road,"Hoi Fan Rd, Tai Kok Tsui, Hong Kong",22.3203074,114.1569051
Hoi Foo Street,"Hoi Foo St, Shau Kei Wan, Hong Kong",22.2800809,114.2246085
Hoi Fung Path,"Hoi Fung Path, Stanley, Hong Kong",22.2188282,114.2139045
Hoi Hong Street,"Hoi Hong St, Quarry Bay, Hong Kong",22.2880778,114.2105525
Hoi Keung Street,"Hong Keung St, San Po Kong, Hong Kong",22.3347455,114.1968996
Hoi King Street,"Hoi King St, Tai Kok Tsui, Hong Kong",22.3186361,114.1612428
Hoi Kwong Street,"Hoi Kwong St, Quarry Bay, Hong Kong",22.2881224,114.2108479
Hoi Lai Street,"Hoi Lai St, Cheung Sha Wan, Hong Kong",22.331083,114.1468879
Hoi Lee Street,"Hoi Lee St, Shau Kei Wan, Hong Kong",22.2806059,114.2233043
Hoi Ning Street,"Hoi Ning St, Shau Kei Wan, Hong Kong",22.2810507,114.2229737
Hoi Ping Road,"Hoi Ping Rd, Causeway Bay, Hong Kong",22.2775364,114.1851553
Hoi Po Road,"Hoi Po Rd, Hong Kong",22.3104763,114.1604996
Hoi Tai Street,"Hoi Tai St, Quarry Bay, Hong Kong",22.2884424,114.2116345
Hoi Ting Road,"Hoi Ting Rd, Mong Kok, Hong Kong",22.3148023,114.162658
Hoi Wan Street,"Hoi Wan St, Quarry Bay, Hong Kong",22.2880982,114.2116185
Hoi Wang Road,"Hoi Wang Rd, Hong Kong",22.3125627,114.1646241
Hoi Yu Street,"Hoi Yu St, Hong Kong",22.2913194,114.2116054
Hoi Yuen Road,"Hoi Yuen Rd, Kwun Tong, Hong Kong",22.3104225,114.2246277
Hok Cheung Street,"Hok Cheung St, Hung Hom, Hong Kong",22.309845,114.1912922
Hok Ling Street,"Hok Ling St, Ma Tau Kok, Hong Kong",22.3208844,114.1934957
Hok Sz Terrace,"26/F, 41 Heung Yip Rd, Hong Kong",22.2477839,114.163003
Hok Yu Lane,"Hok Yu Ln, Ho Man Tin, Hong Kong",22.3200849,114.177821
Hok Yuen Lane,"Hok Yuen St, Hung Hom, Hong Kong",22.3106178,114.1874665
Hok Yuen Street,"Hok Yuen St, Hung Hom, Hong Kong",22.3106178,114.1874665
Hok Yuen Street East,"Hok Yuen St E, Hok Yuen, Hong Kong",22.3106201,114.190281
Holland Street,"Holland St, Sai Wan, Hong Kong",22.2844574,114.1308579
Holly Road,"Holly Rd, Happy Valley, Hong Kong",22.2658673,114.1881995
Hollywood Road,"Hollywood Rd, Hong Kong",22.2838811,114.1512361
Holy Cross Path,"Holy Cross Path, Sai Wan Ho, Hong Kong",22.2815278,114.2224529
Homestead Road,"Homestead Rd, The Peak, Hong Kong",22.2655054,114.1503629
Hong Cheung Street,"Hong Cheung St, Sai Wan Ho, Hong Kong",22.283496,114.222074
Hong Chong Road,"Hong Chong Rd, Hong Kong",22.3042157,114.1809744
Hong Keung Street,"Hong Keung St, San Po Kong, Hong Kong",22.3347455,114.1968996
Hong Lee Road,"Hong Lee Rd, Ngau Tau Kok, Hong Kong",22.3184465,114.2206544
Hong Lok Street,"Hong Lok St, Mong Kok, Hong Kong",22.3199741,114.1682204
Hong Man Street,"Hong Man St, Chai Wan, Hong Kong",22.265922,114.2346742
Hong Ning Road,"Hong Ning Rd, Hong Kong",22.3185492,114.2229391
Hong On Street,"Hong On St, Kornhill, Hong Kong",22.2843284,114.218079
Hong Pak Path,"Hong Pak Path, Hong Kong",22.2809195,114.2134122
Hong Ping Street,"Hong Ping St, Chai Wan, Hong Kong",22.2653663,114.2450409
Hong Shing Street,"Hong Shing St, Kornhill, Hong Kong",22.2804846,114.2151705
Hong Tai Path,"Hong Tai Path, Hung Hom, Hong Kong",22.3024478,114.1788633
Hong Tak Road,"Hong Tak Rd, Hong Kong",22.3185167,114.2142576
Hong Tat Path,"Hong Tat Path, Tsim Sha Tsui East, Hong Kong",22.302049,114.178994
Hong Wan Path,"Wan King Path, Sai Kung, Hong Kong",22.3809579,114.271999
Hong Wing Path,"Hong Wing Path, Hong Kong",22.3020682,114.1795954
Hong Yue Street,"Hong Yue St, Kornhill, Hong Kong",22.2841045,114.2185725
Honiton Road,"Honiton Rd, Hong Kong",22.2837063,114.1409861
Hop Kwan Street,"Hop Kwan St, Tai Kok Tsui, Hong Kong",22.3228804,114.1606564
Hop Yat Road,"Hop Yat Rd, Hong Kong",22.3204331,114.1866759
Horizon Drive,"Horizon Dr, Chung Hom Kok, Hong Kong",22.2198269,114.2029495
Hornsey Road,"Hornsey Rd, Mid-level, Hong Kong",22.2769778,114.1519756
Horse Shoe Lane,"Horse Shoe Ln, Ngau Tau Kok, Hong Kong",22.3146445,114.2218415
Hospital Path,"1 Nam Fung Path, Aberdeen, Hong Kong",22.2517115,114.1763062
Hospital Road,"Hospital Rd, Hong Kong",22.2854183,114.1460063
Houston Street,"Houston St, Causeway Bay, Hong Kong",22.2820631,114.1852959
How Ming Lane,"How Ming Ln, Kwun Tong, Hong Kong",22.3138582,114.2209734
How Ming Street,"How Ming St, Kwun Tong, Hong Kong",22.3129261,114.2219531
Humbert Street,"Humbert St, Lai Chi Kok, Hong Kong",22.3393295,114.139695
Humphreys Avenue,"Humphreys Ave, Tsim Sha Tsui, Hong Kong",22.2982927,114.1729574
Hung Fook Street,"Hung Fook St, To Kwa Wan, Hong Kong",22.3141247,114.1888333
Hung Hing Road,"Hung Hing Rd, Hong Kong",22.2822827,114.1802044
Hung Hom Road,"Hung Hom Rd, Hung Hom, Hong Kong",22.3069447,114.1896679
Hung Hom South Road,"Hung Hom S Rd, Hung Hom, Hong Kong",22.3048634,114.1857748
Hung Hom Wan Street,"Hung Hom Wan St, Hung Hom, Hong Kong",22.3053088,114.1852965
Hung Kwong Street,"Hung Kwong St, To Kwa Wan, Hong Kong",22.3193269,114.1881939
Hung Lai Road,"Hung Lai Rd, Hung Hom, Hong Kong",22.3040458,114.1847505
Hung Ling Street,"Hung Ling St, Hung Hom, Hong Kong",22.3052278,114.1838042
Hung Lok Road,"Hung Lok Rd, Hung Hom, Hong Kong",22.3025643,114.1854925
Hung Luen Road,"Hung Luen Rd, Hung Hom, Hong Kong",22.301149,114.187037
Hung Mui Avenue,"Hung Mui Ave, Ngau Chi Wan, Hong Kong",22.3369105,114.2051003
Hung Shing Street,"Hung Shing St, Ap Lei Chau, Hong Kong",22.2445162,114.1558816
Hung To Road,"Hung To Rd, Kwun Tong, Hong Kong",22.3111991,114.2216324
Hung Wan Street,"Hung Wan St, Ma Tau Kok, Hong Kong",22.3212853,114.1925642
Hung Yip Street,Hong Kong,22.31442,114.216938
Hysan Avenue,"Hysan Ave, Causeway Bay, Hong Kong",22.2781016,114.1846312
Ice House Street,"Ice House St, Central, Hong Kong",22.2804216,114.1581281
Ichang Street,"Ichang St, Tsim Sha Tsui, Hong Kong",22.2970056,114.1708305
Illumination Terrace,"Illumination Terrace, Tai Hang, Hong Kong",22.2772602,114.1936565
In Ku Lane,"In Ku Ln, Sheung Wan, Hong Kong",22.2869105,114.1461073
Information Crescent,"Information Cres, Telegraph Bay, Hong Kong",22.2610278,114.1310155
Inverness Road,"Inverness Rd, Kowloon Tsai, Hong Kong",22.331833,114.185541
Irving Street,"Irving St, Causeway Bay, Hong Kong",22.2789005,114.1868652
Island Eastern Corridor,"Island Eastern Corridor, Hong Kong",22.284183,114.221675
Island Road,"Island Rd, Hong Kong",22.2412292,114.1871433
Ivy Street,"Ivy St, Tai Kok Tsui, Hong Kong",22.3213754,114.1623814
Jackson Road,"Jackson Rd, Central, Hong Kong",22.2812719,114.1607257
Jaffe Road,"Jaffe Rd, Hong Kong",22.2791643,114.1771311
Jardine's Bazaar,"Jardine's Bazaar, Causeway Bay, Hong Kong",22.2795527,114.1852116
Jardine's Crescent,"Jardine's Cres, Causeway Bay, Hong Kong",22.2792413,114.1848778
Jat's Incline,"Jat's Incline, Hong Kong",22.3448468,114.2160705
Java Road,"Java Rd, Hong Kong",22.2927705,114.204915
Jervois Street,"Jervois St, Sheung Wan, Hong Kong",22.2850135,114.1511945
Johnston Road,"Johnston Rd, Wan Chai, Hong Kong",22.2766195,114.1732624
Jones Street,"Jones St, Hong Kong",22.2784562,114.1912099
Jordan Path,"Jordan Path, Hong Kong",22.3049279,114.174619
Jordan Road,"Jordan Rd, Yau Ma Tei, Hong Kong",22.3059944,114.1663222
Jordan Valley North Road,"Jordan Valley N Rd, Ngau Tau Kok, Hong Kong",22.3236591,114.2170307
Jordan Valley South Road,"Jordan Valley Park, 71 New Clear Water Bay Rd, Cha Liu Au, Hong Kong",22.3305359,114.2213851
Jubilee Street,"Jubilee St, Central, Hong Kong",22.2844315,114.1555717
Julia Avenue,"Julia Ave, Ho Man Tin, Hong Kong",22.3198648,114.1753756
Junction Road,"Junction Rd, Hong Kong",22.3331228,114.1873368
Jupiter Street,"Jupiter St, Causeway Bay, Hong Kong",22.2862972,114.1922671
Justice Drive,"Justice Dr, Central, Hong Kong",22.2767585,114.1659118
Ka Lok Street,"Ka Lok St, Kwun Tong, Hong Kong",22.3164937,114.2255201
Ka Ning Path,"Ka Ning Path, Hong Kong",22.2774549,114.1893432
Ka On Street,"Ka On St, Shek Tong Tsui, Hong Kong",22.2875133,114.1373707
Ka Shin Street,"Ka Shin St, Tai Kok Tsui, Hong Kong",22.3199873,114.1614219
Ka Wah Terrace,"Wah Lam Path, Waterfall Bay, Hong Kong",22.2523651,114.138873
